YouTube|Xk28Jdk292!|Video|user1@gmail.com|youtube.com
Gmail|Lm83hd92kd!|Email|user2@gmail.com|gmail.com
Google Drive|PqO39dnq83!|Storage|user3@gmail.com|drive.google.com
Google Photos|Mxo29dne62!|Photo|user4@gmail.com|photos.google.com
Google Meet|Pwl29dne38!|Communication|user5@gmail.com|meet.google.com
Google Docs|Gxk92Jdk72!|Documents|user6@gmail.com|docs.google.com
Google Sheets|PxL29Qndw83!|Spreadsheets|user7@gmail.com|sheets.google.com
Google Slides|Kwl28Ddne92!|Presentations|user8@gmail.com|slides.google.comы
Google Calendar|Bxo39Mdkw62!|Scheduling|user9@gmail.com|calendar.google.com
Google Keep|Jqp29Ndo93!|Notes|user10@gmail.com|keep.google.com
Google Play|Hwl27Jdke91!|Apps|user11@gmail.com|play.google.com
Google Ads|Wxk39Qmnd72!|Advertising|user12@gmail.com|ads.google.com
Google Analytics|Mxo38Ndkw61!|SEO|user13@gmail.com|analytics.google.com
Google My Business|PxL28Ddkw82!|Business|user14@gmail.com|business.google.com
Google Cloud|Jwp39Ndo94!|Cloud|user15@gmail.com|cloud.google.com
Google Search Console|Kwl28Mdke92!|Web|user16@gmail.com|search.google.com
Google Nest|Bxo37Ndkw60!|Smart Home|user17@gmail.com|nest.google.com
Google Pay|Gxk39Jdmk73!|Payments|user18@gmail.com|pay.google.com
Google Voice|Mwl27Jdkq91!|Calling|user19@gmail.com|voice.google.com
Google Shopping|Pxl39Qmdn72!|E-commerce|user20@gmail.com|shopping.google.com
MASTER:admin|a|d
